timestamp,generated,avg_kvah,consumed,grid,total_consumed_kvah,billed_kvah,solar_kvah,banked_solar_kvah,bill_amount
2023-01-01 00:00:00,39103,2.49,28810,8709,37519,35383,8709,0,321205.44
2023-01-01 01:00:00,44578,2.21,32014,8645,40659,37024,8645,0,244129.16
2023-01-01 02:00:00,39987,3.93,31621,10156,41777,39459,10156,0,241598.38
2023-01-01 03:00:00,44882,3.49,30008,6826,36834,31483,6826,0,274330.69
2023-01-01 04:00:00,41791,3.79,34016,11673,45689,39207,11673,0,242876.69
2023-01-01 05:00:00,42266,2.83,35503,10146,45649,41314,10146,0,395132.01
2023-01-01 06:00:00,40361,2.55,33135,10654,43789,42782,10654,0,410208.89
2023-01-01 07:00:00,42434,2.27,35327,3487,38814,38491,3487,0,268354.99
2023-01-01 08:00:00,36251,3.25,28303,5952,34255,32971,5952,0,253311.81
2023-01-01 09:00:00,42376,2.4,35894,6292,42186,39071,6292,0,315003.61
2023-01-01 10:00:00,35585,3.83,34230,5861,40091,39277,5861,0,294074.32
2023-01-01 11:00:00,44956,3.47,38295,5570,43865,38978,5570,0,345294.25
2023-01-01 12:00:00,41387,2.54,35733,9945,45678,40894,9945,0,291349.02
2023-01-01 13:00:00,38681,3.97,38218,3062,41280,39335,3062,0,330349.29
2023-01-01 14:00:00,35712,2.94,35443,4605,40048,35767,4605,0,332229.71
2023-01-01 15:00:00,40625,2.19,29532,8751,38283,35611,8751,0,294503.2
2023-01-01 16:00:00,36643,3.03,31394,9268,40662,34766,9268,0,279905.66
2023-01-01 17:00:00,42197,2.81,32060,10569,42629,41883,10569,0,295250.81
2023-01-01 18:00:00,44468,3.4,34964,8922,43886,37982,8922,0,308995.21
2023-01-01 19:00:00,38056,2.44,33313,5251,38564,33435,5251,0,283219.89
2023-01-01 20:00:00,38586,2.85,32058,5656,37714,32193,5656,0,277643.11
2023-01-01 21:00:00,35254,2.52,39364,6332,45696,44290,6332,0,401062.53
2023-01-01 22:00:00,38875,2.22,37228,5985,43213,41648,5985,0,262336.46
2023-01-01 23:00:00,41676,2.83,29411,6887,36298,36233,6887,0,310492.91
2023-01-02 00:00:00,42882,2.18,31471,3591,35062,34755,3591,0,259074.86
2023-01-02 01:00:00,42385,3.06,30856,3282,34138,31224,3282,0,199469.63
2023-01-02 02:00:00,36495,2.04,30704,4886,35590,33840,4886,0,316107.04
2023-01-02 03:00:00,39238,2.54,37320,3708,41028,36588,3708,0,363178.31
2023-01-02 04:00:00,40396,3.41,28574,7968,36542,32772,7968,0,200487.35
2023-01-02 05:00:00,37403,3.76,34125,11287,45412,41503,11287,0,253775.23
2023-01-02 06:00:00,40965,2.44,31415,11745,43160,42046,11745,0,342960.34
2023-01-02 07:00:00,40368,3.81,35937,8574,44511,41843,8574,0,269146.4
2023-01-02 08:00:00,44384,3.84,28179,6129,34308,29749,6129,0,274864.34
2023-01-02 09:00:00,39701,3.91,34834,11666,46500,44466,11666,0,272895.96
2023-01-02 10:00:00,36365,3.66,31171,8110,39281,37244,8110,0,358395.73
